task_id,employee_id,department_x,task_category,priority,assigned_date,deadline,completion_date,completed,deadline_met,hours_estimated,hours_actual,efficiency_score,satisfaction_rating,name,department_y,role,join_date,years_experience,manager_id,location
TASK00038,EMP0169,HR,Feature Dev,Medium,2025-06-02,2025-06-05,2025-06-05,True,True,28,36.1,74.0,4.0,Brian Davis,HR,HR Coordinator,2023-06-14,14.9,EMP0004,Remote
TASK00039,EMP0042,Engineering,Bug Fix,Medium,2026-04-08,2026-04-14,2026-04-13,True,True,30,37.7,78.2,5.0,Elizabeth Hayes,Engineering,Tech Lead,2024-12-22,9.7,EMP0008,Bangalore
TASK00040,EMP0122,Marketing,Report,Medium,2025-09-17,2025-09-28,,False,False,5,0.0,0.0,,Erin Dixon,Marketing,SEO Specialist,2026-04-01,8.3,EMP0018,Remote
TASK00041,EMP0090,Finance,Feature Dev,High,2025-07-31,2025-08-07,2025-08-12,True,False,30,18.3,84.5,3.0,Joann Sanders,Finance,Accountant,2023-07-16,1.1,EMP0020,Hyderabad
TASK00042,EMP0132,Support,Training,Medium,2025-09-30,2025-10-02,2025-10-05,True,False,26,51.8,83.9,3.0,Amanda Nichols,Support,Support Agent,2024-05-02,11.8,EMP0002,Bangalore
TASK00043,EMP0068,HR,Documentation,Medium,2025-07-07,2025-07-17,2025-07-16,True,True,37,58.5,78.2,4.0,Shelley Khan,HR,HR Coordinator,2023-11-09,6.9,EMP0018,Delhi
TASK00044,EMP0159,Support,Feature Dev,Medium,2025-09-11,2025-09-15,2025-09-20,True,False,27,30.3,80.0,3.0,Carol Lee,Support,Customer Success,2021-08-08,14.3,EMP0006,Mumbai
TASK00045,EMP0057,Support,Feature Dev,Medium,2025-04-28,2025-05-09,2025-05-09,True,True,32,19.2,86.3,1.0,Scott Harper,Support,Customer Success,2023-04-07,1.4,EMP0011,Bangalore
TASK00046,EMP0142,Engineering,Training,Medium,2025-11-06,2025-11-18,2025-11-18,True,True,37,21.8,77.7,5.0,Jacob Stein,Engineering,Tech Lead,2025-10-06,9.9,EMP0001,Hyderabad
TASK00047,EMP0027,HR,Meeting,Medium,2025-12-27,2025-12-29,2026-01-02,True,False,5,9.8,55.8,3.0,Aaron Robinson,HR,Recruiter,2025-12-28,13.0,EMP0001,Bangalore
TASK00048,EMP0024,Marketing,Testing,Low,2025-10-06,2025-10-15,2025-10-20,True,False,16,28.3,67.1,5.0,Briana Dawson,Marketing,Content Writer,2023-01-29,11.5,EMP0004,Mumbai
TASK00049,EMP0121,Finance,Training,Medium,2025-07-23,2025-08-05,2025-08-06,True,False,29,51.3,91.7,1.0,Michael Dyer,Finance,Accountant,2023-05-31,7.4,EMP0012,Delhi
TASK00050,EMP0048,Engineering,Bug Fix,Medium,2025-08-11,2025-08-22,,False,False,19,0.0,0.0,,John Martin,Engineering,Senior Dev,2022-11-09,11.1,EMP0004,Mumbai
TASK00051,EMP0034,HR,Code Review,Low,2025-11-14,2025-11-26,2025-11-29,True,False,24,12.2,72.8,5.0,Jeffery Griffith,HR,HR Coordinator,2023-08-25,1.3,EMP0019,Bangalore
TASK00052,EMP0193,Marketing,Documentation,Medium,2026-02-24,2026-02-26,2026-02-25,True,True,7,11.3,96.2,4.0,Patricia Graves,Marketing,Marketing Manager,2026-01-07,12.5,EMP0001,Remote
TASK00053,EMP0015,HR,Feature Dev,Medium,2026-03-29,2026-04-04,2026-04-06,True,False,22,36.6,83.2,1.0,Whitney Vaughn,HR,HR Manager,2025-01-09,3.5,EMP0009,Bangalore
TASK00054,EMP0133,Sales,Client Call,Low,2025-04-17,2025-04-30,2025-04-29,True,True,19,22.1,92.2,4.0,Michael Rollins,Sales,Sales Rep,2025-08-12,12.7,EMP0020,Mumbai
TASK00055,EMP0075,Engineering,Meeting,Medium,2025-11-11,2025-11-18,2025-11-17,True,True,24,27.5,79.5,5.0,Deborah Ramos,Engineering,Junior Dev,2025-09-30,5.3,EMP0005,Delhi
TASK00056,EMP0104,Engineering,Bug Fix,Medium,2026-01-27,2026-02-07,2026-02-08,True,False,27,53.4,55.6,1.0,Roy Schultz,Engineering,Junior Dev,2024-12-17,10.3,EMP0008,Mumbai
TASK00057,EMP0079,Sales,Bug Fix,Low,2025-05-03,2025-05-07,2025-05-09,True,False,20,19.8,85.0,4.0,Darryl Blanchard,Sales,Sales Rep,2021-12-30,5.0,EMP0002,Delhi
TASK00058,EMP0039,Support,Testing,High,2025-10-15,2025-10-18,2025-10-19,True,False,34,45.5,89.2,1.0,Katherine Stanley,Support,Customer Success,2023-08-12,5.9,EMP0017,Hyderabad
TASK00059,EMP0151,Engineering,Testing,Medium,2025-04-26,2025-05-08,2025-05-06,True,True,31,58.3,81.9,5.0,Tony Allen,Engineering,Tech Lead,2025-03-10,14.2,EMP0003,Mumbai
TASK00060,EMP0134,Sales,Bug Fix,Medium,2025-09-08,2025-09-15,2025-09-19,True,False,20,13.5,79.0,3.0,Mary Atkins,Sales,Sales Rep,2021-06-14,7.4,EMP0004,Remote
TASK00061,EMP0049,Sales,Feature Dev,Low,2025-08-21,2025-08-31,2025-09-03,True,False,7,8.1,83.3,2.0,Todd Adams,Sales,Sales Rep,2022-10-12,8.3,EMP0005,Hyderabad
TASK00062,EMP0099,Finance,Documentation,Medium,2025-12-20,2025-12-27,2025-12-31,True,False,21,34.0,77.5,3.0,Lisa Mcfarland,Finance,Finance Manager,2023-05-08,4.9,EMP0018,Bangalore
TASK00063,EMP0082,Sales,Testing,High,2025-09-20,2025-09-22,2025-09-21,True,True,35,44.3,100.0,3.0,Theresa Robinson,Sales,Sales Rep,2024-04-17,13.3,EMP0001,Mumbai
TASK00064,EMP0016,Finance,Meeting,High,2026-03-06,2026-03-20,2026-03-20,True,True,17,11.1,86.8,2.0,Eric Scott,Finance,Finance Manager,2021-11-07,3.0,EMP0008,Mumbai
TASK00065,EMP0144,Support,Report,Low,2025-12-26,2025-12-29,2025-12-28,True,True,13,25.1,69.2,4.0,John Duncan,Support,Support Agent,2021-08-27,6.8,EMP0017,Delhi
TASK00066,EMP0083,Support,Feature Dev,High,2025-10-22,2025-11-04,2025-11-07,True,False,22,16.0,87.4,4.0,Dillon Bernard,Support,Support Lead,2024-10-08,11.8,EMP0014,Mumbai
TASK00067,EMP0153,Support,Meeting,Medium,2026-04-09,2026-04-14,2026-04-12,True,True,24,30.3,96.8,4.0,James Johnson,Support,Customer Success,2022-11-28,7.6,EMP0001,Bangalore
TASK00068,EMP0094,Finance,Feature Dev,Medium,2026-03-20,2026-03-21,2026-03-23,True,False,6,8.8,88.6,5.0,Anthony Nelson,Finance,Finance Manager,2025-10-25,10.9,EMP0007,Delhi
TASK00069,EMP0091,HR,Documentation,Medium,2026-03-13,2026-03-20,2026-03-18,True,True,30,55.9,66.9,3.0,Heather Wright,HR,Recruiter,2022-09-23,11.9,EMP0014,Remote
TASK00070,EMP0136,Finance,Testing,Medium,2025-05-26,2025-06-04,2025-06-02,True,True,30,19.7,80.8,1.0,Elizabeth Smith,Finance,Finance Manager,2021-07-29,14.5,EMP0004,Mumbai
TASK00071,EMP0055,Marketing,Code Review,Medium,2026-04-04,2026-04-07,2026-04-12,True,False,30,38.6,83.2,3.0,Pamela Powell,Marketing,Marketing Manager,2025-02-16,14.4,EMP0018,Hyderabad
TASK00072,EMP0126,Marketing,Testing,Medium,2025-10-05,2025-10-10,2025-10-13,True,False,40,23.1,76.9,1.0,Sarah Cervantes,Marketing,Marketing Manager,2024-12-01,8.7,EMP0001,Bangalore
TASK00073,EMP0111,Sales,Code Review,Medium,2025-04-28,2025-05-07,2025-05-09,True,False,18,28.5,82.4,3.0,Alex Carter,Sales,Account Manager,2026-04-03,10.2,EMP0018,Remote
TASK00074,EMP0104,Engineering,Client Call,Low,2026-04-05,2026-04-16,2026-04-19,True,False,21,41.0,70.7,2.0,Roy Schultz,Engineering,Junior Dev,2024-12-17,10.3,EMP0008,Mumbai
TASK00075,EMP0027,HR,Training,Medium,2025-12-15,2025-12-17,2025-12-21,True,False,23,39.6,96.6,1.0,Aaron Robinson,HR,Recruiter,2025-12-28,13.0,EMP0001,Bangalore
TASK00076,EMP0063,Finance,Documentation,Medium,2026-01-20,2026-01-27,2026-01-25,True,True,25,24.1,76.5,3.0,Brianna Smith,Finance,Accountant,2023-07-07,14.1,EMP0007,Delhi
TASK00077,EMP0055,Marketing,Feature Dev,Critical,2026-01-24,2026-02-01,2026-02-01,True,True,11,6.8,87.3,5.0,Pamela Powell,Marketing,Marketing Manager,2025-02-16,14.4,EMP0018,Hyderabad
TASK00078,EMP0171,Finance,Code Review,High,2025-09-09,2025-09-23,2025-09-21,True,True,23,41.7,75.7,5.0,Amy Woodward,Finance,Accountant,2024-05-08,7.0,EMP0015,Delhi
TASK00079,EMP0133,Sales,Testing,Medium,2025-07-04,2025-07-07,2025-07-07,True,True,30,17.0,84.1,2.0,Michael Rollins,Sales,Sales Rep,2025-08-12,12.7,EMP0020,Mumbai
TASK00080,EMP0051,Finance,Meeting,Critical,2026-03-23,2026-04-02,2026-04-07,True,False,16,20.8,93.2,4.0,Lisa Sutton,Finance,Analyst,2022-05-10,1.2,EMP0018,Bangalore
TASK00081,EMP0020,Finance,Client Call,Critical,2026-03-01,2026-03-05,2026-03-10,True,False,31,51.3,66.6,5.0,Sydney Cole,Finance,Finance Manager,2021-08-01,5.1,EMP0016,Hyderabad
TASK00082,EMP0099,Finance,Report,Medium,2025-07-06,2025-07-09,2025-07-09,True,True,18,10.4,99.1,3.0,Lisa Mcfarland,Finance,Finance Manager,2023-05-08,4.9,EMP0018,Bangalore
TASK00083,EMP0016,Finance,Code Review,Medium,2026-04-12,2026-04-14,2026-04-13,True,True,20,12.5,64.6,3.0,Eric Scott,Finance,Finance Manager,2021-11-07,3.0,EMP0008,Mumbai
TASK00084,EMP0054,Engineering,Documentation,Medium,2025-08-24,2025-09-02,2025-09-06,True,False,7,13.4,73.6,4.0,Melissa Lang,Engineering,Senior Dev,2026-02-22,4.3,EMP0015,Delhi
TASK00085,EMP0092,Finance,Client Call,High,2025-05-26,2025-05-27,2025-05-31,True,False,34,36.1,75.7,1.0,Bryce Valentine,Finance,Analyst,2021-09-30,6.1,EMP0019,Mumbai
TASK00086,EMP0089,Engineering,Code Review,Medium,2025-09-17,2025-09-18,2025-09-18,True,True,23,38.8,55.9,1.0,Gwendolyn Munoz,Engineering,Junior Dev,2023-08-28,13.2,EMP0009,Mumbai
TASK00087,EMP0058,Engineering,Bug Fix,Low,2025-11-04,2025-11-18,2025-11-18,True,True,32,37.5,95.4,1.0,Benjamin Buchanan,Engineering,Tech Lead,2024-02-09,7.4,EMP0017,Mumbai
TASK00088,EMP0066,Engineering,Training,Low,2025-05-21,2025-05-25,,False,False,37,0.0,0.0,,Miguel Jimenez,Engineering,Junior Dev,2025-01-20,8.3,EMP0017,Delhi
TASK00089,EMP0086,HR,Client Call,Medium,2026-03-18,2026-03-31,2026-04-02,True,False,9,5.1,63.1,5.0,Kelly Rios DDS,HR,HR Coordinator,2022-07-03,3.7,EMP0007,Hyderabad
TASK00090,EMP0137,HR,Training,Medium,2026-02-18,2026-02-20,2026-02-25,True,False,40,52.2,73.0,5.0,Paul Baker,HR,HR Coordinator,2023-04-25,8.9,EMP0010,Remote
TASK00091,EMP0198,Support,Client Call,Low,2025-07-10,2025-07-13,2025-07-11,True,True,24,20.7,71.1,2.0,Jennifer Moody,Support,Support Agent,2026-04-13,5.0,EMP0001,Remote
TASK00092,EMP0116,Support,Training,Medium,2025-11-16,2025-11-18,2025-11-21,True,False,6,11.6,80.6,5.0,Colleen Olsen,Support,Support Lead,2024-05-31,3.9,EMP0011,Delhi
TASK00093,EMP0162,Sales,Client Call,High,2025-08-13,2025-08-22,2025-08-26,True,False,32,18.1,66.5,3.0,Gregory Parker,Sales,Account Manager,2021-08-22,3.1,EMP0001,Remote
TASK00094,EMP0005,Support,Feature Dev,Low,2025-12-11,2025-12-12,2025-12-12,True,True,24,20.7,74.8,5.0,Samantha Lindsey,Support,Customer Success,2025-06-06,10.7,EMP0014,Mumbai
TASK00095,EMP0018,Support,Code Review,High,2025-11-09,2025-11-15,2025-11-18,True,False,36,36.3,84.8,4.0,Sarah Mann,Support,Support Lead,2023-06-05,12.7,EMP0002,Mumbai
TASK00096,EMP0011,Finance,Report,Critical,2026-01-01,2026-01-09,2026-01-09,True,True,6,9.4,92.5,1.0,Brenda Walter,Finance,Accountant,2025-01-27,12.5,EMP0020,Delhi
TASK00097,EMP0184,Engineering,Training,Low,2026-01-10,2026-01-11,2026-01-11,True,True,22,41.8,76.1,4.0,Steven Barton,Engineering,Senior Dev,2022-12-06,11.2,EMP0020,Delhi
TASK00098,EMP0027,HR,Bug Fix,Critical,2025-07-29,2025-08-07,2025-08-05,True,True,14,13.0,57.3,3.0,Aaron Robinson,HR,Recruiter,2025-12-28,13.0,EMP0001,Bangalore
TASK00099,EMP0118,Support,Client Call,Low,2025-05-11,2025-05-24,2025-05-28,True,False,30,55.3,79.3,3.0,George Meadows,Support,Support Agent,2025-07-12,10.7,EMP0003,Hyderabad
TASK00100,EMP0045,Finance,Feature Dev,Critical,2025-06-01,2025-06-09,2025-06-12,True,False,35,31.5,91.6,4.0,Brianna Vega,Finance,Accountant,2023-10-15,4.0,EMP0016,Hyderabad
TASK00101,EMP0165,Engineering,Training,Low,2025-05-28,2025-06-07,,False,False,13,0.0,0.0,,Joshua Mills,Engineering,Tech Lead,2025-12-13,4.6,EMP0016,Hyderabad
TASK00102,EMP0124,Engineering,Client Call,Low,2025-12-03,2025-12-05,2025-12-07,True,False,21,24.5,86.0,2.0,Donna Gutierrez,Engineering,Senior Dev,2022-10-16,5.4,EMP0013,Mumbai
TASK00103,EMP0027,HR,Bug Fix,Medium,2025-08-30,2025-09-05,2025-09-08,True,False,29,26.4,75.7,1.0,Aaron Robinson,HR,Recruiter,2025-12-28,13.0,EMP0001,Bangalore
TASK00104,EMP0162,Sales,Report,Medium,2026-02-01,2026-02-08,2026-02-08,True,True,3,2.1,70.8,1.0,Gregory Parker,Sales,Account Manager,2021-08-22,3.1,EMP0001,Remote
TASK00105,EMP0114,HR,Bug Fix,Low,2025-09-28,2025-10-02,2025-10-05,True,False,25,26.9,82.2,5.0,Kelli Berry,HR,HR Coordinator,2023-03-04,12.7,EMP0009,Remote
TASK00106,EMP0065,HR,Report,Low,2025-05-08,2025-05-16,,False,False,25,0.0,0.0,,Richard Davis,HR,HR Coordinator,2022-04-18,0.6,EMP0020,Remote
TASK00107,EMP0195,Finance,Meeting,High,2025-10-07,2025-10-17,2025-10-20,True,False,27,26.2,74.3,2.0,Andrea Davidson,Finance,Accountant,2023-12-10,9.6,EMP0002,Mumbai
TASK00108,EMP0026,Engineering,Training,Critical,2025-08-17,2025-08-18,2025-08-23,True,False,35,37.8,74.5,1.0,Calvin Kane,Engineering,Senior Dev,2023-09-23,6.0,EMP0015,Remote
TASK00109,EMP0007,Support,Report,Low,2025-12-30,2026-01-04,2026-01-05,True,False,20,30.8,91.4,2.0,Jacqueline Christensen,Support,Support Lead,2024-08-21,5.4,EMP0005,Mumbai
TASK00110,EMP0041,Finance,Testing,Low,2025-11-05,2025-11-19,2025-11-19,True,True,30,59.9,90.2,3.0,James Walters,Finance,Finance Manager,2025-01-15,3.8,EMP0008,Bangalore
TASK00111,EMP0197,Support,Code Review,High,2025-08-28,2025-09-06,2025-09-08,True,False,12,18.8,80.8,3.0,Julie Snow,Support,Support Lead,2025-07-03,2.3,EMP0020,Mumbai
TASK00112,EMP0185,Engineering,Documentation,Medium,2026-03-31,2026-04-02,,False,False,10,0.0,0.0,,Mrs. Toni Webb,Engineering,Junior Dev,2021-05-01,3.8,EMP0019,Remote
TASK00113,EMP0029,HR,Training,High,2026-01-29,2026-01-30,2026-02-02,True,False,31,52.9,84.9,2.0,Daniel Lewis,HR,HR Manager,2023-12-07,2.8,EMP0001,Delhi
TASK00114,EMP0090,Finance,Client Call,Medium,2025-07-24,2025-07-26,2025-07-30,True,False,32,41.2,99.8,5.0,Joann Sanders,Finance,Accountant,2023-07-16,1.1,EMP0020,Hyderabad
TASK00115,EMP0061,Engineering,Testing,Low,2026-03-29,2026-04-04,2026-04-09,True,False,31,47.1,77.3,2.0,Maria Rodriguez,Engineering,Tech Lead,2024-02-04,4.1,EMP0020,Bangalore
TASK00116,EMP0121,Finance,Bug Fix,High,2025-11-02,2025-11-15,2025-11-15,True,True,10,11.5,88.5,1.0,Michael Dyer,Finance,Accountant,2023-05-31,7.4,EMP0012,Delhi
TASK00117,EMP0069,Finance,Training,Medium,2025-09-07,2025-09-12,2025-09-15,True,False,16,16.3,84.7,3.0,Christian Henry,Finance,Finance Manager,2022-05-02,8.2,EMP0018,Delhi
TASK00118,EMP0067,Sales,Training,High,2025-07-19,2025-07-24,2025-07-26,True,False,10,14.4,89.7,1.0,Devon Jackson,Sales,Account Manager,2024-03-31,13.3,EMP0008,Delhi
TASK00119,EMP0009,HR,Testing,Medium,2025-11-24,2025-11-27,2025-11-27,True,True,12,17.9,92.7,5.0,Ryan Norman DVM,HR,Recruiter,2023-01-14,4.3,EMP0002,Hyderabad
TASK00120,EMP0068,HR,Documentation,Low,2025-09-13,2025-09-27,2025-09-25,True,True,38,34.1,81.8,5.0,Shelley Khan,HR,HR Coordinator,2023-11-09,6.9,EMP0018,Delhi
TASK00121,EMP0045,Finance,Client Call,Medium,2025-06-10,2025-06-21,2025-06-23,True,False,21,25.7,85.1,3.0,Brianna Vega,Finance,Accountant,2023-10-15,4.0,EMP0016,Hyderabad
TASK00122,EMP0112,HR,Documentation,Medium,2025-06-20,2025-07-02,2025-07-07,True,False,28,34.3,74.2,3.0,Dominique Perez,HR,HR Manager,2023-01-31,9.4,EMP0017,Hyderabad
TASK00123,EMP0197,Support,Code Review,Medium,2025-05-28,2025-06-03,2025-06-06,True,False,24,47.1,75.4,3.0,Julie Snow,Support,Support Lead,2025-07-03,2.3,EMP0020,Mumbai
TASK00124,EMP0044,Support,Documentation,Medium,2025-06-02,2025-06-04,2025-06-09,True,False,9,8.1,78.1,2.0,Debbie Gordon,Support,Support Lead,2025-03-03,3.6,EMP0005,Remote
TASK00125,EMP0174,HR,Documentation,Low,2026-03-08,2026-03-13,,False,False,28,0.0,0.0,,Richard Henry,HR,Recruiter,2023-03-29,1.7,EMP0008,Mumbai
TASK00126,EMP0199,Marketing,Report,Critical,2025-12-16,2025-12-19,2025-12-22,True,False,14,23.0,66.3,5.0,Kimberly King,Marketing,Content Writer,2025-07-24,3.8,EMP0004,Hyderabad
TASK00127,EMP0191,Support,Documentation,Medium,2025-06-14,2025-06-19,2025-06-18,True,True,27,34.0,73.3,2.0,Tamara Ramirez,Support,Support Lead,2021-06-04,12.3,EMP0018,Bangalore
TASK00128,EMP0185,Engineering,Report,Medium,2025-07-27,2025-07-28,2025-08-02,True,False,40,72.9,53.0,3.0,Mrs. Toni Webb,Engineering,Junior Dev,2021-05-01,3.8,EMP0019,Remote
TASK00129,EMP0193,Marketing,Client Call,Medium,2025-11-20,2025-12-04,2025-12-04,True,True,18,28.6,89.5,3.0,Patricia Graves,Marketing,Marketing Manager,2026-01-07,12.5,EMP0001,Remote
TASK00130,EMP0016,Finance,Feature Dev,Low,2026-04-12,2026-04-13,2026-04-14,True,False,25,33.2,84.2,4.0,Eric Scott,Finance,Finance Manager,2021-11-07,3.0,EMP0008,Mumbai
TASK00131,EMP0053,Sales,Client Call,Medium,2025-06-03,2025-06-16,2025-06-15,True,True,10,19.6,79.5,3.0,Charlotte Wells DVM,Sales,Account Manager,2023-06-24,13.6,EMP0006,Hyderabad
TASK00132,EMP0191,Support,Training,High,2025-05-01,2025-05-07,2025-05-10,True,False,11,8.8,82.7,4.0,Tamara Ramirez,Support,Support Lead,2021-06-04,12.3,EMP0018,Bangalore
TASK00133,EMP0157,HR,Code Review,Medium,2025-11-17,2025-11-18,2025-11-21,True,False,32,40.9,83.1,5.0,James Garza,HR,Recruiter,2023-07-31,7.1,EMP0010,Delhi
